case,condition,box_iou_H0,abs_delta_dice
963,H1,1.0,0.0
982,H1,0.9696969696969696,0.00014261725773534462
99,H1,1.0,0.0
992,H1,1.0,0.0
994,H1,0.975609756097561,0.0070020606176255384
100,H2,0.9234268385140256,0.0010512030209957057
1004,H2,0.9375,0.004973816154149047
1007,H2,0.9256661991584852,0.04548041323329077
1008,H2,0.9375,0.2182120184486639
1011,H2,1.0,0.0
1015,H2,1.0,0.0
1016,H2,1.0,0.0
102,H2,0.868421052631579,0.03157450552888608
1023,H2,0.9777777777777776,0.00046443492970260625
1027,H2,0.9761904761904762,0.0022402803325722864
1029,H2,1.0,0.0
1031,H2,0.967741935483871,0.0035649701134343736
1035,H2,0.907469342251951,0.04382260110315761
1037,H2,0.9483344663494222,0.0006466574581921458
1039,H2,0.9438202247191012,0.008379823858921331
1040,H2,0.8878048780487805,0.0067820398916573765
1041,H2,0.8636363636363636,0.003039423302465649
1047,H2,0.9448727833461836,0.010881825600209116
1053,H2,0.9782608695652174,0.0005586494063433145
1054,H2,0.9443636363636364,0.0005220993150506503
1057,H2,0.9714285714285714,0.05089729379398655
1060,H2,1.0,0.0
1061,H2,0.9655172413793104,0.006571730879369464
1069,H2,0.9836065573770492,0.002366143828510636
1072,H2,0.9333333333333332,0.0005830734711758656
1073,H2,0.9767441860465116,0.0006276839367178599
1074,H2,0.821353065539112,0.00422584569547102
1078,H2,1.0,0.0
108,H2,0.9208981001727116,0.017652840564582273
1084,H2,0.9655172413793104,0.007800804888702287
1085,H2,0.9555555555555556,0.28778457260818624
1089,H2,1.0,0.0
1092,H2,0.9560276679841896,0.00030216249339998225
1093,H2,0.8547297297297297,0.0010438470468647765
1096,H2,0.8823529411764706,0.0007167875638125487
1103,H2,0.9209225700164744,0.018567212510294473
1107,H2,0.9555555555555556,0.019897206496506004
1111,H2,0.90625,0.07696161063249674
1113,H2,1.0,0.0
1114,H2,1.0,0.0
1118,H2,0.9317443120260022,0.0005499094485589273
1120,H2,0.9127011297500855,0.0018878725178816946
1123,H2,0.9437689969604864,0.0023100054802296377
1124,H2,0.2620802620802621,0.0120967741935483
1125,H2,0.8931034482758621,0.008549280956401728
1126,H2,0.9527065527065528,0.007964917125530824
1130,H2,0.972972972972973,5.575910291777397e-05
1134,H2,0.9310344827586208,0.0015386296718360448
1137,H2,0.9523809523809524,0.1968134327417589
1138,H2,0.9202614379084968,0.023645364697473248
114,H2,0.9393939393939394,3.665911209482786e-05
1140,H2,0.972972972972973,0.0061115480462970995
1144,H2,1.0,0.0
1146,H2,1.0,0.0
1148,H2,1.0,0.0
1149,H2,0.9545454545454546,0.0007799092747444725
1150,H2,0.7737104825291181,0.017501262778023885
1156,H2,0.7854166666666667,0.09283016094234692
1160,H2,0.4125495852866931,0.1207401573641077
1163,H2,1.0,0.0
1165,H2,0.9510086455331412,0.001333244614183049
1169,H2,1.0,0.0
117,H2,0.9555555555555556,0.00013688604223582868
1170,H2,0.8724637681159421,0.009011436835634767
1177,H2,0.8665183537263627,0.0008424247358517212
1178,H2,0.967741935483871,0.07834415857061011
1179,H2,0.9347826086956522,0.0
1189,H2,1.0,0.0
1192,H2,0.8742316784869977,0.004101201220638617
121,H2,0.6507387613957875,0.0024571599406237876
1211,H2,1.0,0.0
122,H2,0.9767441860465116,6.521231489586832e-06
1223,H2,0.754054054054054,0.0038860497935516713
1225,H2,0.9310344827586208,0.07758012313532725
1239,H2,0.8874458874458875,0.007413893999419052
124,H2,0.9230769230769232,0.0016283589936977316
1241,H2,1.0,0.0
1243,H2,1.0,0.0
1246,H2,1.0,0.0
1247,H2,1.0,0.0
1248,H2,1.0,0.0
1249,H2,1.0,0.0
1250,H2,1.0,0.0
1251,H2,1.0,0.0
1252,H2,1.0,0.0
1253,H2,1.0,0.0
1254,H2,0.84,0.011640211640211784
1267,H2,0.9375,0.0
1273,H2,1.0,0.0
