filename,dice,iou,gt_pixels,pred_pixels
1986.png,0.7044124624387158,0.543701171875,3061,3262
1988.png,0.8725617685305592,0.7739331026528259,1729,1347
2002.png,0.8880981365296376,0.7987198922014486,5931,4748
2003.png,0.9211505308048271,0.8538267451640034,5244,5777
2006.png,0.7678667383127351,0.6232010466637593,5863,5303
2007.png,0.6646825396825397,0.49777117384843983,7956,5148
2008.png,0.9084830756372754,0.832312404287902,9033,7718
2009.png,0.7637421093694589,0.6177854274239817,8715,5384
2014.png,0.7458170983268393,0.5946637426900585,7847,9605
2026.png,0.8977212506624271,0.8144230769230769,1771,2003
2029.png,0.8825706594885598,0.7898223426678711,3253,2691
2031.png,0.926309645410769,0.8627344387061702,7269,6437
2039.png,0.9145288753799392,0.8425179211469535,4421,3804
2055.png,0.7300747198007472,0.5748958077960284,3439,2985
2062.png,0.9564684242795831,0.9165687426556992,3278,3246
2064.png,0.747668327584004,0.5970210161191594,3652,4175
2065.png,0.8954496208017335,0.8106915154487494,2027,1665
2066.png,0.9067760034527406,0.8294512435846821,2529,2105
2075.png,0.4209632740595121,0.2665949861354762,17472,4910
2076.png,0.0,0.0,14542,4806
2082.png,0.7644163150492265,0.6186681844052362,1757,1087
2108.png,0.6667799779043087,0.5001274859765426,6562,5205
211.png,0.6699473952146615,0.5036999234498597,4638,7148
2110.png,0.8932478310071671,0.8070892978868439,1444,1207
2118.png,0.8652706440142236,0.7625348189415042,1289,1242
2127.png,0.25384267631103075,0.14537216828478963,7725,1123
2136.png,0.49364763508342263,0.32771059851641093,3960,9106
2137.png,0.6539737487379201,0.48585512216030863,4582,2351
2148.png,0.9348807221147647,0.8777239709443099,1644,1458
217.png,0.9263482280431433,0.8628013777267508,3115,3375
2170.png,0.8026243849097867,0.6703196347031963,1870,1788
2176.png,0.5569886812319031,0.38599051441079896,5014,2584
2178.png,0.6958578368703656,0.5335751396921871,10161,5483
2182.png,0.745520501264153,0.5942867157378199,5706,3391
2188.png,0.9274942489562921,0.8647918652685097,6002,5735
2208.png,0.6720218491445096,0.5060488749092669,8015,4434
2211.png,0.7106415094339623,0.5511589791617888,7088,6162
2213.png,0.0020531964535697622,0.0010276532137518685,6285,4430
2214.png,0.7758402029169309,0.6337736337736338,3461,2847
2221.png,0.6060991105463787,0.43482224247948953,6582,2862
2226.png,0.5404296403572291,0.3702662477261452,5834,2452
2227.png,0.7454151055018734,0.5941527821439799,4593,5549
223.png,0.9811117832896418,0.962923868584246,7402,7475
2237.png,0.6571428571428571,0.48936170212765956,1584,1356
2241.png,0.7936328044508552,0.6578700145187463,7945,11467
2244.png,0.7460719716168271,0.5949878738884398,1235,738
2245.png,0.9118266626542281,0.8379424778761062,1684,1639
2246.png,0.8458820331611852,0.7329251059821008,1781,1898
2248.png,0.9245283018867925,0.8596491228070176,3501,3283
2259.png,0.719642030550841,0.562063147746445,4149,2332
2272.png,0.7539092151206923,0.6050194931773879,3898,2689
2277.png,0.5926530612244898,0.4211136890951276,2706,4644
2278.png,0.5643620011242271,0.39310884886452624,1051,2507
228.png,0.7326062429484769,0.5780415430267062,2148,3170
2293.png,0.5761666023910529,0.40465872156013,4649,8316
2326.png,0.6335955341283938,0.4636954503249768,2634,5248
233.png,0.9367886804060289,0.8810935917835961,6224,6780
234.png,0.9272183449651047,0.8643122676579925,6202,6837
2344.png,0.9028283162421435,0.8228687721414035,10966,13218
2353.png,0.7669156169880726,0.6219490146447297,4193,4778
2364.png,0.8851107676455435,0.7939001848428835,998,943
238.png,0.9074626865671642,0.8306010928961749,1794,1891
2384.png,0.6600421559771154,0.49258426966292135,4382,2260
2386.png,0.5668320793981111,0.39550988495476375,8953,3541
2388.png,0.5670921327454166,0.39576315107540816,15436,6109
2389.png,0.8117936886560044,0.6832093727374449,11510,14063
2392.png,0.5022466300549177,0.3353333333333333,9000,3018
2395.png,0.6413223140495867,0.4720194647201946,6652,6053
2399.png,0.3149965445749827,0.18694118612090888,12191,2279
2400.png,0.8261827017996811,0.7038426704618967,5542,7627
2401.png,0.4271954674220963,0.2716138328530259,6680,2145
2406.png,0.9106273274133486,0.835919011306863,3740,3242
2423.png,0.6920204674318905,0.5290759145696765,7558,6904
2424.png,0.7905480984340044,0.6536416184971098,12233,9223
2430.png,0.8236997008588247,0.7002461033634126,5748,4615
2442.png,0.8479700547077454,0.736065983504124,3741,3205
2459.png,0.6812064471514442,0.5165375927718618,12348,6451
246.png,0.8558172733761599,0.7479725514660013,1292,1510
2472.png,0.6170123903661423,0.4461445540567747,4863,2320
2474.png,0.5431182181610509,0.37279498235985886,4922,2082
2486.png,0.8586806859431718,0.7523579732397455,4543,3446
2489.png,0.6896588429400181,0.5263200649878148,12310,6479
25.png,0.6613816534541337,0.494077834179357,3400,1898
2503.png,0.5130339539978094,0.345020624631703,5596,8099
