filename,a,b,same_text,abs_dice,box_iou
1411.png,H1,H2,False,0.009227260310993413,0.9285714285714286
1425.png,H0,H1,False,0.0002685951408170073,0.9787234042553191
1425.png,H0,H2,False,0.0008765653333588919,0.9549689440993789
1425.png,H1,H2,False,0.0011451604741758992,0.9346504559270516
1426.png,H0,H1,False,0.0,0.926829268292683
1426.png,H0,H2,False,0.0,1.0
1426.png,H1,H2,False,0.0,0.926829268292683
1435.png,H0,H1,False,0.0,1.0
1435.png,H0,H2,False,0.0,1.0
1435.png,H1,H2,True,0.0,1.0
1436.png,H0,H1,False,9.649930461563816e-05,0.9803921568627451
1436.png,H0,H2,False,9.649930461563816e-05,0.9803921568627451
1436.png,H1,H2,True,0.0,1.0
1437.png,H0,H1,False,0.0,1.0
1437.png,H0,H2,False,0.0,1.0
1437.png,H1,H2,True,0.0,1.0
1442.png,H0,H1,False,0.023761219432197,0.9433962264150944
1442.png,H0,H2,False,0.09826762223881513,0.7714508580343213
1442.png,H1,H2,False,0.12202884167101213,0.8217628705148206
1457.png,H0,H1,False,0.003570080023126976,0.9210526315789473
1457.png,H0,H2,False,0.004926539238732985,0.9047619047619048
1457.png,H1,H2,False,0.008496619261859961,0.8333333333333334
1458.png,H0,H1,False,0.028726541905853664,0.9182608695652174
1458.png,H0,H2,False,0.028726541905853664,0.9182608695652174
1458.png,H1,H2,True,0.0,1.0
1459.png,H0,H1,False,0.01542624414193261,0.952921157118548
1459.png,H0,H2,False,0.01542624414193261,0.952921157118548
1459.png,H1,H2,True,0.0,1.0
1461.png,H0,H1,False,0.0005503746476921423,0.987012987012987
1461.png,H0,H2,False,0.12254276431003414,0.9127450980392157
1461.png,H1,H2,False,0.121992389662342,0.9247549019607844
1464.png,H0,H1,False,0.005256885388882915,0.9767441860465116
1464.png,H0,H2,False,0.019908595350401903,0.8939692550256209
1464.png,H1,H2,False,0.025165480739284818,0.9152542372881356
1465.png,H0,H1,False,0.0014746063084914995,0.876875
1465.png,H0,H2,False,0.0,1.0
1465.png,H1,H2,False,0.0014746063084914995,0.876875
1466.png,H0,H1,False,0.0,1.0
1466.png,H0,H2,False,0.12692955483516577,0.9144411473788329
1466.png,H1,H2,False,0.12692955483516577,0.9144411473788329
1472.png,H0,H1,False,0.0014504699431030499,0.975609756097561
1472.png,H0,H2,False,0.02654753339796101,0.9172473867595818
1472.png,H1,H2,False,0.02509706345485796,0.9401785714285714
1477.png,H0,H1,False,0.0,0.9534883720930233
1477.png,H0,H2,False,0.0006546258596782373,0.8809917355371901
1477.png,H1,H2,False,0.0006546258596782373,0.9239669421487603
1480.png,H0,H1,False,0.003183576377271624,0.8584169453734671
1480.png,H0,H2,False,0.003183576377271624,0.8584169453734671
1480.png,H1,H2,True,0.0,1.0
1481.png,H0,H1,False,0.3195870752725116,0.9761904761904762
1481.png,H0,H2,False,0.2975156236415116,0.7481751824817519
1481.png,H1,H2,False,0.02207145163100005,0.7333682556312205
1482.png,H0,H1,False,0.0,1.0
1482.png,H0,H2,False,0.0,1.0
1482.png,H1,H2,True,0.0,1.0
1483.png,H0,H1,False,0.0,1.0
1483.png,H0,H2,False,0.0,1.0
1483.png,H1,H2,True,0.0,1.0
1484.png,H0,H1,False,0.019631289425057874,0.9666666666666667
1484.png,H0,H2,False,0.019631289425057874,0.9666666666666667
1484.png,H1,H2,True,0.0,1.0
1485.png,H0,H1,False,0.0,1.0
1485.png,H0,H2,False,0.0,1.0
1485.png,H1,H2,True,0.0,1.0
1488.png,H0,H1,False,0.06223991468591927,0.8959349593495934
1488.png,H0,H2,False,0.11611860804509266,0.751219512195122
1488.png,H1,H2,False,0.05387869335917339,0.838475499092559
1490.png,H0,H1,False,0.01405167209926117,0.8859357696566998
1490.png,H0,H2,False,0.026489195071840776,0.8724637681159421
1490.png,H1,H2,False,0.040540867171101946,0.7729468599033816
1491.png,H0,H1,False,0.027119709759481914,0.9375
1491.png,H0,H2,False,0.007688791125697592,0.9142857142857143
1491.png,H1,H2,False,0.034808500885179505,0.8571428571428571
1492.png,H0,H1,False,0.011493424823197318,0.9666666666666667
1492.png,H0,H2,False,0.011493424823197318,0.9666666666666667
1492.png,H1,H2,True,0.0,1.0
1493.png,H0,H1,False,0.0023454065865375906,0.9830508474576272
1493.png,H0,H2,False,0.0017744145938763944,0.9655172413793104
1493.png,H1,H2,False,0.0005709919926611962,0.9491525423728814
1495.png,H0,H1,False,0.0,1.0
1495.png,H0,H2,False,0.0,1.0
1495.png,H1,H2,True,0.0,1.0
1496.png,H0,H1,False,0.011109994504871823,0.9666666666666667
1496.png,H0,H2,False,0.011109994504871823,0.9666666666666667
1496.png,H1,H2,True,0.0,1.0
1497.png,H0,H1,False,0.0003018275035143736,0.9827586206896551
1497.png,H0,H2,False,0.0003018275035143736,0.9827586206896551
1497.png,H1,H2,True,0.0,1.0
1498.png,H0,H1,False,0.0,1.0
1498.png,H0,H2,False,0.014280644659521335,0.8837209302325582
1498.png,H1,H2,False,0.014280644659521335,0.8837209302325582
150.png,H0,H1,False,0.3059174967542032,0.7032967032967034
150.png,H0,H2,False,0.3059174967542032,0.7032967032967034
150.png,H1,H2,True,0.0,1.0
1509.png,H0,H1,False,0.0008823428938857791,0.9636363636363636
1509.png,H0,H2,False,0.0065000124366656475,0.8988476312419974
1509.png,H1,H2,False,0.005617669542779868,0.8988476312419974
