filename,risk_region,frozen_risk,comparison,prompt1,prompt2,seed1,seed2,heatmap_mae,heatmap_corr_distance,box_instability
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P20,56,56,0.012639686465263367,0.03690767287455887,0.15545938748335553
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P08,56,56,0.02555694244801998,0.11017734766353504,0.5919080919080919
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P09,56,56,0.020133737474679947,0.10978844402946619,0.3906093906093906
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P10,56,56,0.028646554797887802,0.16855264505577305,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P11,56,56,0.027004962787032127,0.1684060833547978,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P12,56,56,0.020899513736367226,0.09552778247910754,0.542957042957043
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P13,56,56,0.024187332019209862,0.103241944231805,0.506993006993007
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P14,56,56,0.026491468772292137,0.11397343478183775,0.5382950382950382
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P15,56,56,0.019111547619104385,0.08941528077878735,0.31868131868131866
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P16,56,56,0.020289432257413864,0.08768694203190808,0.5174825174825175
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P17,56,56,0.01859283447265625,0.08619532352023374,0.5804195804195804
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P18,56,56,0.024820715188980103,0.14643336355777326,0.4405594405594405
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P19,56,56,0.018265994265675545,0.08536442149815415,0.37229437229437234
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P07,P20,56,56,0.01981196366250515,0.09123154138647693,0.506993006993007
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P09,56,56,0.026367802172899246,0.09127024205191547,0.330327868852459
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P10,56,56,0.009768346324563026,0.047874624902946916,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P11,56,56,0.013153922744095325,0.1222142119226306,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P12,56,56,0.011703946627676487,0.06342196582265491,0.10710382513661199
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P13,56,56,0.008417896926403046,0.025385113271571225,0.17223910840932122
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P14,56,56,0.008418065495789051,0.030099020679853483,0.1998621640248105
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P15,56,56,0.02598457783460617,0.17041963941676863,0.4010263929618768
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P16,56,56,0.011479431763291359,0.05581223472747199,0.18984771573604065
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P17,56,56,0.023442337289452553,0.07295348494277776,0.1234428086070215
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P18,56,56,0.014133244752883911,0.09097523466313562,0.32003469210754554
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P19,56,56,0.019395938143134117,0.11367223568240625,0.349867374005305
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P08,P20,56,56,0.012869687750935555,0.03844161226815879,0.17223910840932122
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P10,56,56,0.028970161452889442,0.1254727675060232,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P11,56,56,0.028773531317710876,0.13500189107649063,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P12,56,56,0.018156055361032486,0.04075415136347105,0.29200000000000004
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P13,56,56,0.023096714168787003,0.06737422316794128,0.2580899763220206
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P14,56,56,0.028574485331773758,0.08696908004957304,0.2863612147043154
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P15,56,56,0.018731193616986275,0.093993685197158,0.1055718475073314
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P16,56,56,0.02003529481589794,0.06546624213859087,0.27330173775671407
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P17,56,56,0.021933909505605698,0.11124363774898283,0.352
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P18,56,56,0.018015222623944283,0.03240934667595641,0.11087190527448865
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P19,56,56,0.022963721305131912,0.126811905072169,0.11898734177215187
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P09,P20,56,56,0.015451675280928612,0.030064865926585083,0.2580899763220206
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P11,56,56,0.010598849505186081,0.06913250994900966,0.04477611940298509
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P12,56,56,0.015611822716891766,0.12363271142510901,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P13,56,56,0.010664205998182297,0.04353297705424142,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P14,56,56,0.008072316646575928,0.03033951823084413,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P15,56,56,0.03054962493479252,0.2650735254543274,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P10,P16,56,56,0.01194570679217577,0.05135858728091647,1.0
