prompt1,prompt2,text_cosine_similarity,text_cosine_distance,text_euclidean_normalized,heatmap_mae_mean,heatmap_corr_distance_mean,box_instability_mean,n_observations,text_distance_quartile
P05,P07,0.9422244429588318,0.05777555704116821,0.3399282693862915,0.013084766268730114,0.05521036283590624,0.28334714616365364,60,Q2
P05,P08,0.9719293713569641,0.02807062864303589,0.2369418740272522,0.009071239462355109,0.04345141380861298,0.3459025248351587,60,Q1_nearest
P05,P09,0.9147903323173523,0.0852096676826477,0.4128187894821167,0.012949611475535935,0.06474044023133928,0.2920515544975141,60,Q3
P05,P10,0.9482733011245728,0.051726698875427246,0.3216417729854584,0.012388013470141788,0.06078960450447254,0.4419541319119454,60,Q2
P05,P11,0.9593601226806641,0.04063987731933594,0.2850961983203888,0.009173168381676026,0.03157234477095302,0.3479076182382184,60,Q1_nearest
P05,P12,0.9345093965530396,0.06549060344696045,0.3619133532047272,0.014266156870871731,0.08668200475316203,0.3956251483619249,60,Q2
P05,P13,0.9804692268371582,0.019530773162841797,0.19763995707035065,0.006971247188630467,0.02116023362581124,0.28784704370765535,60,Q1_nearest
P05,P14,0.9731873273849487,0.02681267261505127,0.23157145082950592,0.010043550403012531,0.04338430764116193,0.3461461750291753,60,Q1_nearest
P05,P15,0.8422690033912659,0.15773099660873413,0.56166011095047,0.02255109325051303,0.14460442790359793,0.41247762421732653,60,Q4_farthest
P05,P16,0.9874081611633301,0.012591838836669922,0.15869443118572235,0.006604680618814451,0.018672490960792192,0.2484741043424682,60,Q1_nearest
P05,P17,0.9314438104629517,0.06855618953704834,0.3702870011329651,0.016289318461591946,0.10824079611129557,0.4749563596341469,60,Q2
P05,P18,0.9374213218688965,0.06257867813110352,0.35377612709999084,0.013156508557343183,0.07734365176722412,0.2587980300383899,60,Q2
P05,P19,0.9223482012748718,0.07765179872512817,0.39408570528030396,0.01623519287289426,0.10130491571030466,0.3935859192665337,60,Q3
P05,P20,0.9727347493171692,0.02726525068283081,0.23351819813251495,0.008148456198008058,0.03051485538470942,0.3153051692486731,60,Q1_nearest
P06,P07,0.9051995873451233,0.09480041265487671,0.4354317784309387,0.015625178107681326,0.08642047044643235,0.39898949577066284,60,Q4_farthest
P06,P08,0.9388800859451294,0.061119914054870605,0.34962818026542664,0.012832350252817032,0.06671580015490562,0.2696244242866806,60,Q2
P06,P09,0.9458247423171997,0.05417525768280029,0.32916635274887085,0.009616055756729662,0.039234214459001424,0.3279774268750493,60,Q2
P06,P10,0.8907078504562378,0.10929214954376221,0.4675302803516388,0.013427275380430075,0.11055467496221344,0.4109458856950195,60,Q4_farthest
P06,P11,0.9338375329971313,0.06616246700286865,0.36376509070396423,0.012459722312632895,0.09424874122823833,0.39270123740711604,60,Q2
P06,P12,0.970543622970581,0.029456377029418945,0.24271968007087708,0.010362163686659142,0.03356016057891034,0.2810386830030181,60,Q1_nearest
P06,P13,0.9432820081710815,0.05671799182891846,0.33680275082588196,0.012252939987229134,0.06831710798903239,0.3243421689420599,60,Q2
