case,mean_pairwise_box_iou,risk_1_minus_mean_pairwise_iou
2782,0.9522305525803887,0.04776944741961131
2784,0.7472831773142208,0.2527168226857792
2787,0.8332318589564508,0.1667681410435492
2794,0.9238709677419354,0.07612903225806456
28,0.9816091954022987,0.01839080459770126
2801,0.8075880709000152,0.19241192909998484
2807,0.8718804580691265,0.1281195419308735
2810,0.8151416165135679,0.18485838348643213
2816,0.5962245610086877,0.4037754389913123
2825,0.9497043010752688,0.05029569892473118
2827,0.8857978349884065,0.11420216501159353
2835,0.6453837436395576,0.35461625636044236
284,0.7766255144032921,0.22337448559670792
2846,0.8171798631476049,0.18282013685239507
2866,0.8104685823844681,0.18953141761553194
2871,0.9585952425893288,0.04140475741067118
2875,0.9059770114942529,0.09402298850574708
2877,0.7563497411401527,0.24365025885984726
2878,0.8849119954016091,0.11508800459839086
2882,0.5948822004849262,0.40511779951507376
2883,0.8819948952467748,0.11800510475322523
2884,0.8855527143981118,0.11444728560188822
2885,0.5192968821465371,0.48070311785346287
2886,0.7348117885644803,0.26518821143551974
2891,0.8246275260932268,0.17537247390677324
2895,0.898877688172043,0.10112231182795695
2897,0.9067726746918365,0.09322732530816347
2898,0.9395595666206031,0.06044043337939686
2910,0.6014807864350831,0.39851921356491693
2912,0.4610643699179841,0.5389356300820158
2916,0.9925925925925926,0.007407407407407418
2920,0.9184475213299277,0.08155247867007231
2924,0.7915881460385011,0.20841185396149886
2927,0.7713351130715863,0.2286648869284137
2933,0.9091794531669144,0.0908205468330856
2940,0.45638069481506827,0.5436193051849317
2941,0.8765968443706982,0.12340315562930182
2943,0.7138739230737469,0.28612607692625314
2947,0.863033029134969,0.13696697086503096
2951,0.9454074141148638,0.05459258588513616
2955,0.856895327183952,0.143104672816048
2957,0.6889431638366347,0.3110568361633653
2958,0.9482234497307842,0.05177655026921579
2959,0.868262715646656,0.13173728435334398
296,0.8643180453566884,0.13568195464331156
2961,0.9124205185495508,0.08757948145044925
2968,0.7922201857629052,0.2077798142370948
2969,0.7820010991103524,0.21799890088964757
2977,0.6666666666666666,0.33333333333333337
2978,0.8575546975546976,0.1424453024453024
2979,0.8737555037555039,0.12624449624449607
2980,0.9244556292953517,0.07554437070464826
2981,0.9628171202956989,0.03718287970430112
2982,0.8653244296177025,0.1346755703822975
2984,0.8296930902083841,0.1703069097916159
2990,0.7966339715335132,0.20336602846648677
2991,0.8752985541086631,0.12470144589133692
3001,0.94180467445566,0.05819532554434004
3008,0.9031555776276523,0.0968444223723477
3015,0.8343161270766429,0.16568387292335707
3016,0.9101202837861797,0.0898797162138203
3018,0.9259109578767327,0.07408904212326728
3021,0.9766156462585034,0.02338435374149661
3031,0.742090554971193,0.25790944502880697
3039,0.3189007839819426,0.6810992160180573
304,0.9215422622591395,0.07845773774086051
3045,0.7546956253466466,0.24530437465335342
3046,0.5951773057386974,0.4048226942613026
3047,0.5900084591701986,0.4099915408298014
3051,0.7548045793786328,0.24519542062136723
3056,0.6418239726187447,0.3581760273812553
3063,0.8365748974008208,0.1634251025991792
311,0.9437113099553291,0.05628869004467085
32,0.8987752445511067,0.10122475544889331
321,0.8717766727745779,0.12822332722542207
323,0.8967906256141552,0.10320937438584477
324,0.8440631487848669,0.15593685121513312
332,0.9017473433883406,0.09825265661165938
333,0.9066062159993372,0.09339378400066278
350,0.8515274111022441,0.14847258889775594
351,0.910305046526851,0.08969495347314904
354,0.9349026521924277,0.06509734780757226
404,0.9171143930114223,0.08288560698857772
41,0.8919276884897958,0.10807231151020424
415,0.8660920483352986,0.13390795166470137
429,0.7898845945714084,0.21011540542859164
442,0.91571521634755,0.08428478365244996
443,0.6489150626795734,0.35108493732042656
445,0.9683979226187256,0.03160207738127441
452,0.8438467736028712,0.1561532263971288
457,0.6973702789681216,0.30262972103187835
472,0.789761868776271,0.21023813122372903
473,0.9705186316951023,0.02948136830489767
475,0.9275060822463832,0.0724939177536168
482,0.891476223370528,0.10852377662947199
483,0.9650370370370371,0.03496296296296286
484,1.0,0.0
486,0.9319437538621823,0.06805624613781769
494,1.0,0.0
500,0.9397871148459385,0.060212885154061535
506,0.8144668028604355,0.1855331971395645
507,0.9071211717691583,0.0928788282308417
518,0.3484000517501594,0.6515999482498406
519,1.0,0.0
543,0.867716084477728,0.13228391552227203
55,0.7545714057299571,0.24542859427004293
550,0.9655448996197226,0.03445510038027744
551,0.9133064516129032,0.08669354838709675
558,0.9157887104510993,0.08421128954890067
56,0.9134134615384616,0.08658653846153841
561,0.9250565931439904,0.07494340685600964
562,0.9448460396052364,0.05515396039476361
563,0.7082337980085576,0.29176620199144243
579,0.8568585283575797,0.1431414716424203
581,0.7951233179208201,0.20487668207917986
589,0.7615992930635319,0.2384007069364681
590,0.9705069124423962,0.029493087557603825
592,0.6209443745584937,0.3790556254415063
